900,2260000
1800,2280000
2700,2300000
3600,2301000
4500,2302000
5400,2303000
6300,2304000
7200,2305000
8100,2306000
9000,2307000
9900,2308000
10800,2309000
11700,2310000
12600,2310100
13500,2310200
14400,2310300
15300,2310400
16200,2310500
17100,2310600
18000,2310700
18900,2310800
19800,2310900
20700,2311000
21600,2311100
22500,2311200
23400,2311300
24300,2311400
25200,2311500
26100,2311600
27000,2311700
27900,2311800
28800,2311900
29700,2312000
30600,2312100
31500,2312200
32400,2312300
33300,2312400
34200,2312500
35100,2312600
36000,2312700
36900,2312800
37800,2312900
38700,2313000
39600,2313100
40500,2313200
41400,2313300
42300,2313400
43200,2313500
44100,2313600
45000,2313700
45900,2313800
46800,2313900
47700,2314000
48600,2314100
49500,2314200
50400,2314300
51300,2314400
52200,2314500
53100,2314600
54000,2314700
54900,2314800
55800,2314900
56700,2315000
57600,2315100
58500,2315200
59400,2315300
60300,2315400
61200,2315500
62100,2315600
63000,2315700
63900,2315800
64800,2315900
65700,2316000
66600,2316100
67500,2316120
68400,2316140
69300,2316160
70200,2316180
71100,2316200
72000,2316220
72900,2316240
73800,2316260
74700,2316280
75600,2316300
76500,2316320
77400,2316340
78300,2316360
79200,2316380
80100,2316400
81000,2316420
81900,2316440
82800,2316460
83700,2316480
84600,2316500
85500,2316520
86400,2316540
87300,2316560
88200,2316580
89100,2316600
90000,2316620
90900,2316640
91800,2316660
92700,2316680
93600,2316700
94500,2316720
95400,2316740
96300,2316760
97200,2316780
98100,2316800
99000,2316820
99900,2316840
100800,2316860
101700,2316880
102600,2316900
103500,2316920
104400,2316940
105300,2316960
106200,2316980
107100,2317000
108000,2317020
108900,2317040
109800,2317060
110700,2317080
111600,2317100
112500,2317120
113400,2317140
114300,2317160
115200,2317180
116100,2317200
117000,2317220
117900,2317240
118800,2317260
119700,2317280
120600,2317300
121500,2317320
122400,2317340
123300,2317360
124200,2317380
125100,2317400
126000,2317420
126900,2317440
127800,2317460
128700,2317480
129600,2317500
130500,2317520
131400,2317540
132300,2317560
133200,2317580
134100,2317600
135000,2317620
135900,2317640
136800,2317660
137700,2317680
138600,2317700
139500,2317720
140400,2317740
141300,2317760
142200,2317780
143100,2317800
144000,2317820
144900,2317840
145800,2317860
146700,2317880
147600,2317900
148500,2317920
149400,2317940
150300,2317960
151200,2317980
152100,2318000
153000,2318020
153900,2318040
154800,2318060
155700,2318080
156600,2318100
157500,2318120
158400,2318140
